objectid,creator,subject,location,latitude,longitude,date,identifier,title,description,image_alt_text,object_transcript,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,code_11,code_12,code_13,code_14,combined_codes,display_template,type,format,language,source,rights,rightsstatement,data_curation,project_administration,conceptualization,formal_analysis,methodology,object_location,image_small,image_thumb
68125828-8b57-46d2-a857-3d2b6e0f5ef5,,,,,,,68125828-8b57-46d2-a857-3d2b6e0f5ef5.jpg,283341072 1878649512339019 8433980438161207795 n,,,,New York City,Slogans,No Jails/Bail,Billboards,,,,,,,,,,,Billboards; New York City; No Jails/Bail; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/68125828-8b57-46d2-a857-3d2b6e0f5ef5.jpg,https://abnow.s3.amazonaws.com/objects/small/68125828-8b57-46d2-a857-3d2b6e0f5ef5_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/68125828-8b57-46d2-a857-3d2b6e0f5ef5_th.jpg
f21682ae-0237-4983-bc4d-d8204403e023,,,,,,,f21682ae-0237-4983-bc4d-d8204403e023.jpg,283354504 5108049765960983 2700880797573107661 n,,,,DDD,Art,Graffiti,,,,,,,,,,,,Art; DDD; Graffiti,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/f21682ae-0237-4983-bc4d-d8204403e023.jpg,https://abnow.s3.amazonaws.com/objects/small/f21682ae-0237-4983-bc4d-d8204403e023_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/f21682ae-0237-4983-bc4d-d8204403e023_th.jpg
64391c93-60a5-429b-929f-0639f5a72479,,,,,,,64391c93-60a5-429b-929f-0639f5a72479.jpg,283380799 383642933719514 5112765666375172053 n,,,,Environment,Community,RJ/TJ,DDD,Land Back/Pipelines,Infrastructure/Needs,,,,,,,,,Community; DDD; Environment; Infrastructure/Needs; Land Back/Pipelines; RJ/TJ,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/64391c93-60a5-429b-929f-0639f5a72479.jpg,https://abnow.s3.amazonaws.com/objects/small/64391c93-60a5-429b-929f-0639f5a72479_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/64391c93-60a5-429b-929f-0639f5a72479_th.jpg
77e4866d-b89e-4a01-88d6-71f7233da649,,,,,,,77e4866d-b89e-4a01-88d6-71f7233da649.jpg,283628725 1164392014345220 4611517534071079950 n,,,,RJ/TJ,Art,,,,,,,,,,,,,Art; RJ/TJ,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/77e4866d-b89e-4a01-88d6-71f7233da649.jpg,https://abnow.s3.amazonaws.com/objects/small/77e4866d-b89e-4a01-88d6-71f7233da649_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/77e4866d-b89e-4a01-88d6-71f7233da649_th.jpg
ac3ba42f-98df-4c2a-aac2-37fce12bbe08,,,,,,,ac3ba42f-98df-4c2a-aac2-37fce12bbe08.jpg,283711554 1139070699990034 2607296255059034951 n,,,,Community,,,,,,,,,,,,,,Community,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/ac3ba42f-98df-4c2a-aac2-37fce12bbe08.jpg,https://abnow.s3.amazonaws.com/objects/small/ac3ba42f-98df-4c2a-aac2-37fce12bbe08_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/ac3ba42f-98df-4c2a-aac2-37fce12bbe08_th.jpg
55da1784-c6e0-4864-8634-2d6cd4584ab3,,,,,,,55da1784-c6e0-4864-8634-2d6cd4584ab3.jpg,283883416 434196005201521 4045665714255021374 n,,,,Slogans,Infrastructure/Needs,,,,,,,,,,,,,Infrastructure/Needs; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/55da1784-c6e0-4864-8634-2d6cd4584ab3.jpg,https://abnow.s3.amazonaws.com/objects/small/55da1784-c6e0-4864-8634-2d6cd4584ab3_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/55da1784-c6e0-4864-8634-2d6cd4584ab3_th.jpg
c1810a10-4e40-4a04-a2ef-3cbe6beb5a59,,,,,,,c1810a10-4e40-4a04-a2ef-3cbe6beb5a59.jpg,283909165 1014771672761144 2670483826916403298 n,,,,DDD,Montreal,Art,Graffiti,,,,,,,,,,,Art; DDD; Graffiti; Montreal,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/c1810a10-4e40-4a04-a2ef-3cbe6beb5a59.jpg,https://abnow.s3.amazonaws.com/objects/small/c1810a10-4e40-4a04-a2ef-3cbe6beb5a59_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/c1810a10-4e40-4a04-a2ef-3cbe6beb5a59_th.jpg
59e11837-d131-4182-a985-f745ec954004,,,,,,,59e11837-d131-4182-a985-f745ec954004.jpg,283918901 386824776815657 3226904251196858044 n,,,,UK,Slogans,BLM,Art,Graffiti,,,,,,,,,,Art; BLM; Graffiti; Slogans; UK,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/59e11837-d131-4182-a985-f745ec954004.jpg,https://abnow.s3.amazonaws.com/objects/small/59e11837-d131-4182-a985-f745ec954004_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/59e11837-d131-4182-a985-f745ec954004_th.jpg
4b8b416f-254e-496c-8358-ce86568069aa,,,,,,,4b8b416f-254e-496c-8358-ce86568069aa.jpg,283943691 556782405826967 4499903318766721430 n,,,,Animals,Earth,Rainbows,Butterflies,Slogans,Land Back/Pipelines,Art,,,,,,,,Animals; Art; Butterflies; Earth; Land Back/Pipelines; Rainbows; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/4b8b416f-254e-496c-8358-ce86568069aa.jpg,https://abnow.s3.amazonaws.com/objects/small/4b8b416f-254e-496c-8358-ce86568069aa_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/4b8b416f-254e-496c-8358-ce86568069aa_th.jpg
f175ec2c-0450-4e95-93bd-52dc81b8b5e2,,,,,,,f175ec2c-0450-4e95-93bd-52dc81b8b5e2.jpg,284020766 876424143752398 1670644711845623893 n,,,,Slogans,Art,Graffiti,,,,,,,,,,,,Art; Graffiti; Slogans,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/f175ec2c-0450-4e95-93bd-52dc81b8b5e2.jpg,https://abnow.s3.amazonaws.com/objects/small/f175ec2c-0450-4e95-93bd-52dc81b8b5e2_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/f175ec2c-0450-4e95-93bd-52dc81b8b5e2_th.jpg
a3b15d56-709d-48ab-b257-5bf4aa9f9199,,,,,,,a3b15d56-709d-48ab-b257-5bf4aa9f9199.jpg,284220881 703029800969081 2414775605101895064 n,,,,Community,Art,,,,,,,,,,,,,Art; Community,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/a3b15d56-709d-48ab-b257-5bf4aa9f9199.jpg,https://abnow.s3.amazonaws.com/objects/small/a3b15d56-709d-48ab-b257-5bf4aa9f9199_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/a3b15d56-709d-48ab-b257-5bf4aa9f9199_th.jpg
5b25a5c1-ecf5-4e1d-8c10-32dba4f1b417,,,,,,,5b25a5c1-ecf5-4e1d-8c10-32dba4f1b417.jpg,284612623 549370633372793 8902176823352086925 n,,,,Knoxville,Community,Infrastructure/Needs,,,,,,,,,,,,Community; Infrastructure/Needs; Knoxville,image,Image;StillImage,image/png,eng,,,,,,,,,https://abnow.s3.amazonaws.com/objects/5b25a5c1-ecf5-4e1d-8c10-32dba4f1b417.jpg,https://abnow.s3.amazonaws.com/objects/small/5b25a5c1-ecf5-4e1d-8c10-32dba4f1b417_sm.jpg,https://abnow.s3.amazonaws.com/objects/thumbs/5b25a5c1-ecf5-4e1d-8c10-32dba4f1b417_th.jpg
